,IPC,AC,ALFAA,ALPEKA,ALSEA,AMXL,ASURB,BIMBOA,BOLSAA,CEMEXCPO,ELEKTRA,GAPB,GCARSOA1,GENTERA,GFINBURO,GFNORTEO,GMEXICOB,GRUMAB,IENOVA,KIMBERA,KOFUBL,LALAB,OMAB,ORBIA,PINFRA,TLEVISACPO,VOLARA,WALMEX
2019-04-11,44580.058594,104.038368,19.765959,25.798088,44.68,14.226626999999999,304.063629,39.657959000000005,37.087708,8.811752,1025.747925,181.54007,73.026604,17.490419,27.018496000000003,111.008728,52.292625,192.634186,82.349335,31.393328000000004,124.650002,25.452921,105.95525400000001,44.703484,185.630005,40.490459,17.040001,52.982535999999996
2019-04-12,44686.058594,102.916946,19.686177999999998,26.366287,45.0,13.995301000000001,299.590668,39.287323,36.676331,8.78251,1017.068237,181.674011,71.753395,17.597784,27.462212,114.299355,53.448364,191.27436799999998,82.35932199999999,31.345955,123.209999,25.64444,106.29111499999999,44.107182,186.070007,39.668571,16.700001,53.100018000000006
2019-04-15,44625.78125,102.55613699999999,19.845741,25.329576,45.189999,14.130241,300.403931,39.014225,36.612343,8.840994,1012.952576,182.477692,70.786163,18.183398999999998,26.786990999999997,112.10876499999999,52.690498,192.537766,82.19959300000001,31.544943,123.849998,25.615710999999997,106.81356000000001,42.972275,185.58999599999999,39.034824,16.870001000000002,53.530766
2019-04-16,45009.359375,103.45326999999999,20.324432,25.668501000000003,45.509997999999996,14.274822,303.64709500000004,39.462887,36.630627000000004,8.948217999999999,1013.769714,183.941574,69.582047,18.466448,27.10531,111.54926299999998,53.533623,192.798157,83.786888,31.810263,122.279999,25.625286,107.11210600000001,44.087936,187.759995,39.985447,16.709999,54.313956999999995
2019-04-17,45525.289063,104.360161,20.314460999999998,25.618660000000002,44.849998,14.371207,305.83892799999995,39.521408,37.224834,9.006702,1017.586426,186.553589,72.079102,18.622612,27.857698,116.565804,55.655646999999995,192.624542,84.036461,32.312481,122.18,25.376312,108.04505900000001,44.039856,190.889999,40.282513,16.700001,54.294376
2019-04-22,45381.21875,103.911591,20.075113,25.419292000000002,44.240002000000004,14.284459,303.012329,39.521408,37.681919,8.918975,1010.172241,186.24743700000002,70.934212,18.720215,27.674425,116.79340400000001,55.560913,190.975372,82.67878,32.075584,121.0,25.165642000000002,107.85846699999999,44.386093,186.25,39.331894,16.870001000000002,55.253777
2019-04-23,45148.320313,103.901848,20.015278,24.871035,44.369999,14.004939000000002,304.916565,39.667709,37.151699,8.831247,1009.375061,183.83633400000002,70.59864,18.720215,27.693716,116.71753700000001,55.43775600000001,189.837372,83.337654,31.6397,121.010002,25.079456,107.336021,43.299285999999995,187.380005,39.510135999999996,16.709999,54.702126
2019-04-24,45045.328125,104.51619000000001,19.755987,24.233059,43.009997999999996,14.149519,308.120087,40.135883,37.105990999999996,8.957964,1007.5613400000001,186.036926,71.605362,18.534769,27.606903000000003,115.53215,53.912556,187.860291,82.598915,31.55442,121.790001,24.93582,107.308022,43.241572999999995,189.940002,38.816975,16.799999,54.74153100000001
2019-04-25,45026.679688,104.750221,20.065142,23.943977,42.82,14.274822,310.629303,40.613808,36.37466,8.597306,1005.378967,185.826447,72.54298399999999,18.281001999999997,27.558671999999998,115.826126,53.685196,187.484146,82.309402,31.762885999999998,119.059998,24.849634,109.26723500000001,43.058842,189.619995,38.70805,16.48,54.918845999999995
2019-04-26,44974.96875,105.84238400000001,20.025251,23.415653,42.389998999999996,14.226626999999999,308.229156,41.052715,36.365517,8.54857,1006.554871,182.841293,72.385063,17.187853,27.896282,115.76923400000001,53.675724,185.20813,81.850189,31.279619,121.440002,24.763451,109.69638799999998,42.962658000000005,192.169998,39.371502,16.83,55.017353
2019-04-29,44956.730469,103.199738,19.406942,23.136539000000003,42.380001,14.265182000000001,298.261658,40.769863,35.2868,8.480336,1007.252441,178.822784,69.888008,16.641275,27.703362,117.29600500000001,52.60524,186.51973,80.153091,31.668125,122.66999799999999,24.57193,106.89753,42.645267,188.199997,38.549614,16.99,56.022148
2019-04-30,44597.320313,104.935501,19.107761,23.246191,42.380001,13.609754999999998,309.687103,41.179516,35.734745000000004,8.54857,1004.920532,184.42953500000002,72.552856,16.885282999999998,27.992743,113.635544,52.662082999999996,182.74885600000002,82.728699,31.052202,120.58000200000001,24.227196,108.968681,42.327888,192.83999599999999,38.183231,17.25,54.87944399999999
2019-05-02,44312.429688,107.01255800000001,19.157623,23.176414,42.57,13.580839000000001,306.93985,41.540394,36.10041,8.490085,1052.82373,181.233887,68.901031,17.256173999999998,27.809469,108.31554399999999,50.284283,182.035172,82.878433,31.061674,121.610001,23.939917,110.61068,41.981646999999995,192.169998,37.499969,17.719998999999998,55.135567
2019-05-03,44277.238281,106.437225,19.227434,23.465495999999998,43.52,13.474813000000001,308.645721,41.833,36.082127,8.58756,1047.5720210000002,180.793777,69.91761,17.148809,27.82876,108.960388,50.037975,183.443222,83.846779,31.905022,122.599998,23.872885,110.37744099999999,42.558712,191.949997,37.163292,17.57,54.564217000000006
2019-05-06,44116.699219,106.056923,18.898332999999997,23.575148000000002,42.869999,13.262765,308.169647,41.969551,35.606761999999996,8.538822,1057.746582,179.358597,70.105148,16.895042,27.741946999999996,110.098358,50.284283,183.134628,83.507362,31.592321000000002,123.370003,23.556879000000002,107.401329,42.81839,192.220001,36.737491999999996,18.629998999999998,54.662727000000004
2019-05-07,43583.601563,104.48693100000001,18.688906,23.545244,42.27,12.992882,309.55816699999997,41.384335,35.369071999999996,8.402357,1053.630981,180.956421,69.98671,16.641275,27.848053000000004,107.708626,49.488525,182.372742,80.89183,31.743938,121.599998,23.470694,107.15876000000002,42.07782,192.58999599999999,36.133457,18.389999,53.39195600000001
2019-05-08,43410.738281,104.691711,18.329885,23.276098,42.98,12.761555,311.026031,41.979305,35.27766,8.402357,1047.263062,179.72216799999998,68.180534,16.08494,27.25,108.22071100000001,48.418045,182.189499,80.622292,31.582848,120.589996,24.361259,109.509796,41.86623,192.399994,36.044334,18.49,53.618526
2019-05-09,43193.359375,104.90625,18.658985,22.867395000000002,42.990002000000004,13.031438,313.198059,41.013355,35.028484000000006,8.470589,1051.398804,177.569397,67.973274,15.958056,27.190001000000002,105.25251000000002,48.531723,181.977295,78.276299,31.772356,118.809998,23.968647,110.489395,41.375729,189.449997,35.271954,18.4,52.79105
2019-05-10,43382.351563,106.51523600000002,18.609123,23.006952,42.759997999999996,13.031438,310.837585,41.240059,35.440582,8.373114999999999,1049.1564939999998,180.353638,67.321861,15.479802,26.440001000000002,107.6138,48.541199,184.89949,80.21299,32.776798,118.760002,23.997372,110.209503,40.279301000000004,191.619995,34.697624,18.41,53.372253
2019-05-13,43142.460938,105.208542,18.409668,22.448725,42.119999,12.906136,309.399475,41.338623,34.951817,8.090437,1107.5532230000001,182.38201899999999,70.144623,15.313877,26.1,106.238747,48.654872999999995,184.041168,79.823654,32.8526,118.839996,23.623911,113.84552,40.183116999999996,193.800003,33.687588,18.09,52.712242
2019-05-14,43431.53125,106.651756,18.379751000000002,22.797617000000002,41.389998999999996,13.021798,311.11526499999997,41.831451,35.373497,8.168416,1119.381958,182.353317,71.11187,15.421241,26.24,106.324104,48.010692999999996,188.680054,81.00164000000001,33.582245,120.43,23.097233,116.096733,40.154266,192.419998,34.519382,17.99,52.722092
2019-05-15,43338.820313,105.84238400000001,18.150377,22.927204,41.93,13.050714,304.986023,41.486473,34.808056,8.187911,1120.079468,179.894394,70.361763,15.177234,26.540001,105.84046200000002,47.660179,187.551682,81.800278,33.392727,121.0,23.461117,115.43,41.510376,192.470001,35.875996,17.950001,52.603885999999996
2019-05-16,43442.488281,105.52058400000001,18.000784,23.276098,41.810001,13.243485999999999,300.71139500000004,40.845791,34.520546,8.197659,1166.258667,180.812897,68.525986,15.04059,26.18,105.49906899999999,47.8307,188.149628,82.40924100000001,33.345345,120.339996,24.437864,116.93,40.942921000000005,191.199997,35.747265000000006,17.889999,53.569275
2019-05-17,43445.621094,104.740471,17.741497,23.226255,41.790001000000004,13.330235,306.05712900000003,40.776794,33.792183,8.168416,1160.0004880000001,181.32955900000002,70.41111,15.030829,26.27,105.99218799999998,47.717014,187.329895,82.568962,33.260059000000005,120.16999799999999,24.035679000000002,118.470001,40.894836,191.490005,36.103747999999996,17.940001000000002,52.7812
